X,Y
24,94
99,47
68,66
15,9
47,28
29,43
25,14
78,53
82,10
33,65
40,56
62,55
76,7
38,32
65,53
94,39
6,62
55,34
29,56
71,63
70,94
98,66
47,11
34,50
25,66
50,64
62,1
46,3
67,14
83,21
22,4
38,26
19,59
84,88
67,99
10,93
15,78
27,83
85,48
10,14
82,10
38,34
30,1
53,21
65,55
43,56
52,22
95,21
50,88
8,4
70,22
69,67
55,72
82,8
43,59
39,38
99,70
95,69
5,67
41,77
18,55
97,4
12,55
19,89
91,98
17,56
61,98
21,33
47,90
85,71
88,12
72,15
14,45
42,14
26,40
76,22
31,38
87,83
14,13
98,95
1,3
90,56
87,55
6,28
50,30
95,44
3,59
5,58
54,8
35,39
59,43
43,0
2,28
68,30
32,23
2,42
19,68
80,18
37,14
52,10
